165.87,366.68,-30.709,18.6
166.64,366.53,-30.709,18.44
167.42,366.38,-30.709,18.28
168.19,366.24,-30.709,18.12
168.96,366.1,-30.709,17.96
169.73,365.96,-30.709,17.8
170.5,365.82,-30.709,17.64
171.27,365.68,-30.709,17.48
172.04,365.55,-30.709,17.32
172.8,365.41,-30.709,17.16
173.57,365.28,-30.709,17
174.33,365.15,-30.709,16.84
175.09,365.02,-30.709,16.68
175.85,364.89,-30.709,16.52
176.61,364.76,-30.709,16.36
177.37,364.63,-30.709,16.2
178.12,364.51,-30.709,16.04
178.88,364.38,-30.709,15.88
179.63,364.26,-30.709,15.72
180.39,364.14,-30.709,15.56
181.14,364.02,-30.709,15.4
181.89,363.9,-30.709,15.24
182.64,363.79,-30.709,15.08
183.39,363.67,-30.709,14.92
184.13,363.56,-30.709,14.76
184.88,363.45,-30.709,14.6
185.62,363.34,-30.709,14.44
186.37,363.23,-30.709,14.28
187.11,363.12,-30.709,14.12
187.85,363.01,-30.709,13.96
188.59,362.91,-30.709,13.8
189.33,362.8,-30.709,13.64
190.07,362.7,-30.709,13.48
190.81,362.6,-30.709,13.32
191.55,362.5,-30.709,13.16
192.28,362.4,-30.709,13
193.02,362.3,-30.709,12.84
193.75,362.2,-30.709,12.68
194.48,362.11,-30.709,12.52
195.22,362.02,-30.709,12.36
195.95,361.92,-30.709,12.2
196.68,361.83,-30.709,12.04
197.41,361.74,-30.709,11.88
198.14,361.65,-30.709,11.72
198.86,361.57,-30.709,11.56
199.59,361.48,-30.709,11.4
200.32,361.4,-30.709,11.24
201.04,361.31,-30.709,11.08
201.77,361.23,-30.709,10.92
202.49,361.15,-30.709,10.76
203.21,361.07,-30.709,10.6
203.94,360.99,-30.709,10.44
204.66,360.92,-30.709,10.28
205.38,360.84,-30.709,10.12
206.1,360.76,-30.709,9.96
206.82,360.69,-30.709,9.8
207.54,360.62,-30.709,9.64
208.25,360.55,-30.709,9.48
208.97,360.48,-30.709,9.32
209.69,360.41,-30.709,9.16
210.4,360.34,-30.709,9
211.12,360.28,-30.709,8.84
211.83,360.21,-30.709,8.68
212.55,360.15,-30.709,8.52
213.26,360.09,-30.709,8.36
213.97,360.03,-30.709,8.2
214.69,359.97,-30.709,8.04
215.4,359.91,-30.709,7.88
216.11,359.85,-30.709,7.72
